"filename", "language", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "Firebase Rules", "JavaScript", "log", "comment", "blank", "total"
"e:\web_project2\my-yds\src\components\Quiz.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 2, 3, 42
"e:\web_project2\my-yds\src\components\SafeSVG.js", "JavaScript", 0, 0, 0, 0, 0, 0, -30, 0, -3, -4, -37
"e:\web_project2\my-yds\src\components\SomeComponentWithSVG.js", "JavaScript", 0, 0, 0, 0, 0, 0, -18, 0, -3, -4, -25
"e:\web_project2\my-yds\src\components\SpacedRepetitionQuiz.tsx", "TypeScript JSX", 0, 0, 0, 578, 0, 0, 0, 0, 31, 65, 674
"e:\web_project2\my-yds\src\components\ThemeSelector.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"e:\web_project2\my-yds\src\components\VocabularyList2.tsx", "TypeScript JSX", 0, 0, 0, -482, 0, 0, 0, 0, -4, -12, -498
"e:\web_project2\my-yds\src\components\WordList.tsx", "TypeScript JSX", 0, 0, 0, 118, 0, 0, 0, 0, 5, 9, 132
"e:\web_project2\my-yds\src\components\auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\web_project2\my-yds\src\components\auth\ProfileInfo.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\src\components\auth\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -5
"e:\web_project2\my-yds\src\components\design-system\Button.tsx", "TypeScript JSX", 0, 0, 0, 111, 0, 0, 0, 0, 0, 9, 120
"e:\web_project2\my-yds\src\components\design-system\Card.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 0, 8, 78
"e:\web_project2\my-yds\src\components\design-system\Container.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 45
"e:\web_project2\my-yds\src\components\design-system\Input.tsx", "TypeScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 0, 9, 82
"e:\web_project2\my-yds\src\components\design-system\Typography.tsx", "TypeScript JSX", 0, 0, 0, 84, 0, 0, 0, 0, 0, 11, 95
"e:\web_project2\my-yds\src\components\flashcards\ExcelUploader.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 32
"e:\web_project2\my-yds\src\components\flashcards\FlashcardControl.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"e:\web_project2\my-yds\src\components\flashcards\FlashcardDeck.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 1, 1, 13
"e:\web_project2\my-yds\src\components\flashcards\FlashcardMobileView.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\web_project2\my-yds\src\components\flashcards\FullscreenWrapper.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\web_project2\my-yds\src\components\flashcards\QuizMode.tsx", "TypeScript JSX", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
